Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US72587,72587,ZCTA5 72587,140,78,false,false,false
8600000US72601,72601,ZCTA5 72601,30604,584,false,false,false
8600000US72611,72611,ZCTA5 72611,1801,380,false,false,false
8600000US72616,72616,ZCTA5 72616,10107,590,false,false,false
8600000US72617,72617,ZCTA5 72617,199,109,false,false,false
8600000US72619,72619,ZCTA5 72619,2042,367,false,false,false
8600000US72623,72623,ZCTA5 72623,795,326,false,false,false
8600000US72624,72624,ZCTA5 72624,460,137,false,false,false
8600000US72626,72626,ZCTA5 72626,1414,229,false,false,false
8600000US72628,72628,ZCTA5 72628,943,216,false,false,false
8600000US72629,72629,ZCTA5 72629,413,149,false,false,false
8600000US72630,72630,ZCTA5 72630,181,88,false,false,false
8600000US72631,72631,ZCTA5 72631,4586,500,false,false,false
8600000US72632,72632,ZCTA5 72632,4176,463,false,false,false
8600000US72633,72633,ZCTA5 72633,1893,370,false,false,false
8600000US72634,72634,ZCTA5 72634,4963,492,false,false,false
8600000US72635,72635,ZCTA5 72635,3513,450,false,false,false
8600000US72636,72636,ZCTA5 72636,19,15,false,false,false
8600000US72638,72638,ZCTA5 72638,6784,496,false,false,false
8600000US72639,72639,ZCTA5 72639,920,361,false,false,false
8600000US72640,72640,ZCTA5 72640,363,132,false,false,false
8600000US72641,72641,ZCTA5 72641,2636,286,false,false,false
8600000US72642,72642,ZCTA5 72642,1839,294,false,false,false
8600000US72644,72644,ZCTA5 72644,2419,421,false,false,false
8600000US72645,72645,ZCTA5 72645,1506,287,false,false,false
8600000US72648,72648,ZCTA5 72648,597,181,false,false,false
8600000US72650,72650,ZCTA5 72650,4361,446,false,false,false
8600000US72651,72651,ZCTA5 72651,1224,313,false,false,false
8600000US72653,72653,ZCTA5 72653,28482,853,false,false,false
8600000US72655,72655,ZCTA5 72655,396,99,false,false,false
8600000US72658,72658,ZCTA5 72658,2128,620,false,false,false
8600000US72660,72660,ZCTA5 72660,715,238,false,false,false
8600000US72661,72661,ZCTA5 72661,307,141,false,false,false
8600000US72662,72662,ZCTA5 72662,2674,325,false,false,false
8600000US72663,72663,ZCTA5 72663,500,222,false,false,false
8600000US72666,72666,ZCTA5 72666,172,86,false,false,false
8600000US72668,72668,ZCTA5 72668,564,224,false,false,false
