ID,Posted at,Screen name,Text
780591379160367107,2016-09-27 02:14:22 +0000,nytgraphics,"Murder rates are up in a number of U.S. cities, but the national rate is still much lower than in the 1990s… https://t.co/ayB0sDVQie"
780515625701613568,2016-09-26 21:13:21 +0000,nytgraphics,RT @karenyourish: Quiz time! Are you ready for tonight's debate? See if you can tell which questions Trump and Clinton were answering… https://t.co/gQjpqMgYnc
780461888178102273,2016-09-26 17:39:49 +0000,nytgraphics,RT @hfairfield: Jeopardy debate quiz: Can you tell what questions Trump and Clinton were answering? https://t.co/flHRFXdnVL https://t.co/4HeEUgrou4
780426777751683072,2016-09-26 15:20:18 +0000,nytgraphics,Quiz: Decode these Trump and Clinton debate answers to guess what they were asked: https://t.co/MeWyWWD2UL https://t.co/ucdDfdusfE
780402385223057408,2016-09-26 13:43:22 +0000,nytgraphics,Four videos of the fatal shooting of Keith Lamont Scott in Charlotte help reconstruct how it happened:… https://t.co/zhb074xcxK
780395937567047680,2016-09-26 13:17:45 +0000,nytgraphics,A new study estimates how Trump and Clinton's potential Supreme Court nominees would compare to the current justice… https://t.co/HSyQOrFAue
780258471400923136,2016-09-26 04:11:30 +0000,nytgraphics,"A timeline of the fatal shooting of Keith Lamont Scott in Charlotte, based on four videos: https://t.co/QIQdSqPMtX https://t.co/8Ly85JJJyI"
779463834113306624,2016-09-23 23:33:54 +0000,nytgraphics,"A curated walk through the newest Smithsonian museum, which opens tomorrow in Washington, D.C.:… https://t.co/tvI7SfEAwm"
779411456773222400,2016-09-23 20:05:46 +0000,nytgraphics,Video of Keith Lamont Scott being shot in Charlotte is the latest to spark outrage over police treatment of blacks:… https://t.co/BRRu2yKlAQ
779410502413942785,2016-09-23 20:01:59 +0000,nytgraphics,"Hundreds of thousands of Syrians are trapped, unable to get food, medicine or basic necessities: https://t.co/ci7elkF6Y5"
779314098395836416,2016-09-23 13:38:54 +0000,nytgraphics,Were you affected by the Yahoo hack? Take our quiz to find out how many times your info may have been exposed:… https://t.co/sqCVQbUV7w
778861471233105920,2016-09-22 07:40:19 +0000,nytgraphics,Much of the violence in Wednesday's Charlotte protests happened in the Uptown district. https://t.co/d7pDJkaVkx https://t.co/56KnDSd1if
778856355906129920,2016-09-22 07:20:00 +0000,nytgraphics,Many of Tuesday's protests were near the UNC Charlotte campus. https://t.co/d7pDJkaVkx https://t.co/oGUDjk428s
778818275513741312,2016-09-22 04:48:41 +0000,nytgraphics,"The Charlotte protests, peaceful and then violent, in photos. https://t.co/d7pDJkswc5 https://t.co/QwOpfJlRY5"
778359329950957568,2016-09-20 22:25:00 +0000,nytgraphics,RT @Nate_Cohn: We gave four pollsters the data from the Upshot/Siena poll. They had four different results. https://t.co/fzxn6x77Wj
778262532524040192,2016-09-20 16:00:21 +0000,nytgraphics,We gave four good pollsters the same raw data form our poll of FL voters. They came up with four different results.… https://t.co/o3d0dJy0wS
778243909403181056,2016-09-20 14:46:21 +0000,nytgraphics,Video of Terence Crutcher being shot in Tulsa is the latest to spark outrage over police treatment of blacks:… https://t.co/gWFwH930xL
777975549973106688,2016-09-19 20:59:59 +0000,nytgraphics,Chelsea bombing suspect was arrested in Linden NJ after a shootout. https://t.co/fXiyrt7L0F https://t.co/73GSPuRYrC
777939902117842944,2016-09-19 18:38:20 +0000,nytgraphics,"Two NJ men find backpack in trash.
They carry it away.
Open it.
Find ""wires and a pipe.""
They drop it.
Call police.… https://t.co/K0CNfSlhqC"
777900407137992704,2016-09-19 16:01:24 +0000,nytgraphics,"Suspect in Chelsea bombing has been arrested in Linden, NJ. Here's how the manhunt unfolded: https://t.co/fXiyrt7L0F https://t.co/13BFu3FpBH"
777894186435637248,2016-09-19 15:36:41 +0000,nytgraphics,Suspect in Chelsea bombing has been arrested. Here's how the manhunt unfolded: https://t.co/fXiyrt7L0F
777875519199178752,2016-09-19 14:22:30 +0000,nytgraphics,Where the investigation into the explosion in Chelsea is unfolding: https://t.co/fXiyrt7L0F https://t.co/mFKJ8ieRSY
777484375265054720,2016-09-18 12:28:14 +0000,nytgraphics,Trump’s real estate empire was built on millions of $$$ in assistance from the government. https://t.co/M1qKjlBhiP https://t.co/xtVE4PcowA
777404059359780864,2016-09-18 07:09:05 +0000,nytgraphics,Homemade bomb was likely cause of blast in Chelsea. Second explosive device found. https://t.co/TBUyFxRNgo https://t.co/TJapp4OPAU
777377979018145792,2016-09-18 05:25:27 +0000,nytgraphics,Officials find second possible explosive device four blocks from Chelsea explosion. https://t.co/TBUyFxRNgo https://t.co/vL8F06vg9K
777365526674862080,2016-09-18 04:35:58 +0000,nytgraphics,At least 29 injured in explosion in the Chelsea neighborhood of Manhattan. https://t.co/TBUyFxRNgo https://t.co/50Jq6iAFWi
776882086095511552,2016-09-16 20:34:57 +0000,nytgraphics,Oceans are absorbing almost all of the globe’s excess heat https://t.co/rWqslFEej5 https://t.co/h98XoJkkfa
776863871407681536,2016-09-16 19:22:35 +0000,nytgraphics,A curated walk through the newest Smithsonian museum https://t.co/9oiT1So2SE https://t.co/wEWICDw9JL
776841694377631744,2016-09-16 17:54:27 +0000,nytgraphics,How the presidential forecasts have changed: https://t.co/s7Vs6UktjL https://t.co/IGEiaudkvJ
776804949653065728,2016-09-16 15:28:26 +0000,nytgraphics,Explore the National Museum of African American History and Culture before it opens next week. https://t.co/9oiT1So2SE
776527790527086592,2016-09-15 21:07:07 +0000,nytgraphics,"To control the Senate, Republicans need 21 of the 34 seats up for election this year: https://t.co/OQJkWJfQKS https://t.co/xGUDDf8IcL"
776485722945626112,2016-09-15 18:19:57 +0000,nytgraphics,RT @jshkatz: Today in Upshot land: Tracking the swings in the presidential forecasts https://t.co/MwpvsTnxy6 https://t.co/67ePsszq8r
776438034757672960,2016-09-15 15:10:27 +0000,nytgraphics,"The older, richer and more educated you are, the more likely you are to vote. https://t.co/cyIFHp7JaT https://t.co/6gXp5o8gzA"
776165167218450432,2016-09-14 21:06:10 +0000,nytgraphics,"This year may be 3rd consecutive hottest. Where does that heat go? The oceans, mostly. https://t.co/rWqslFEej5 https://t.co/VhlOyCbgre"
776134267453800448,2016-09-14 19:03:23 +0000,nytgraphics,Will Gary Johnson make the presidential debates? We're tracking it for you. https://t.co/QJthNiOZd2 https://t.co/o5bSXdYtQ5
776093979993595905,2016-09-14 16:23:18 +0000,nytgraphics,Get the latest national & state polls on the presidential election here: https://t.co/Bz8GHJMsf9 https://t.co/kCRkGbKPGs
776077976010129408,2016-09-14 15:19:42 +0000,nytgraphics,"For every 10 U.S. adults, six vote and four don’t. What separates them? https://t.co/cyIFHoQ8jl https://t.co/tPqqMciWXk"
775805313270198272,2016-09-13 21:16:15 +0000,nytgraphics,"Voter turnout in the U.S. is lower than in Canada, Mexico and most of Europe. https://t.co/cyIFHp7JaT https://t.co/ZDMZ67BKmE"
