gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9983,2014-04-27,Keyd Stars,KaBuM! e-Sports,red,Mylon • Winged • SuNo • brTT • Loop,LEP • Danagorn • TinOwns • dans • bit1
9982,2014-04-27,KaBuM! e-Sports,Keyd Stars,blue,LEP • Danagorn • TinOwns • dans • bit1,Mylon • Winged • SuNo • brTT • Loop
9981,2014-04-27,paiN Gaming,Team United,blue,Venon • SirT • Kami • owN • Minerva,w0lv • Jockster • Fire • micaO • Eryon
9980,2014-04-27,Team United,paiN Gaming,red,w0lv • Jockster • Fire • micaO • Eryon,Venon • SirT • Kami • owN • Minerva
9979,2014-04-26,Keyd Stars,Team awp,red,Mylon • Winged • SuNo • brTT • Loop,element • Turtle • yeTz • Digolera • Gigante
9978,2014-04-26,Team awp,Keyd Stars,blue,element • Turtle • yeTz • Digolera • Gigante,Mylon • Winged • SuNo • brTT • Loop
9977,2014-04-26,KaBuM! e-Sports,Team United,blue,LEP • Danagorn • TinOwns • dans • bit1,w0lv • Jockster • Fire • micaO • Eryon
9976,2014-04-26,Team United,KaBuM! e-Sports,blue,w0lv • Jockster • Fire • micaO • Eryon,LEP • Danagorn • TinOwns • dans • bit1
9997,2016-03-26,Big Gods,Overload,red,Ranger • Leozuxo • Rakin • Luskka • RedBert,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon
9996,2016-03-26,Overload,Big Gods,red,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon,Ranger • Leozuxo • Rakin • Luskka • RedBert
9995,2016-03-26,Big Gods,Overload,red,Ranger • Leozuxo • Rakin • Luskka • RedBert,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon
9994,2016-03-26,Overload,Big Gods,blue,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon,Ranger • Leozuxo • Rakin • Luskka • RedBert
9993,2016-03-08,Estúdio XP e-Sports,Robot E-Sports Team,red,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon,Odyceuz • Sessh • Chavoso • Kalec • BocaJR
9992,2016-03-08,Robot E-Sports Team,Estúdio XP e-Sports,blue,Odyceuz • Sessh • Chavoso • Kalec • BocaJR,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon
9991,2016-03-08,Estúdio XP e-Sports,Robot E-Sports Team,red,Lynx • 4LaN • Krastyel • DudsTheBoy • Espeon,Odyceuz • Sessh • Chavoso • Kalec • BocaJR
